Cycle,Stress,Cycle,Stress,Cycle,Stress
60,444.6530339,78597,445.0322102,118098,464.6484519
61,444.6530339,78598,445.0322102,118099,464.6484519
62,444.6530339,78599,445.0322102,118100,464.6484519
63,444.6530339,78600,445.0322102,118101,464.6484519
64,444.6530339,78601,445.0322102,118102,464.6484519
65,444.6530339,78602,445.0322102,118103,464.6484519
66,444.6530339,78603,445.0322102,118104,464.6484519
67,444.6530339,78604,445.0322102,118105,464.6484519
68,444.6530339,78605,445.0322102,118106,464.6484519
69,444.6530339,78606,445.0322102,118107,464.6484519
70,444.6530339,78607,445.0322102,118108,464.6484519
71,444.6530339,78608,445.0322102,118109,464.6484519
72,444.6530339,78609,445.0322102,118110,464.6484519
73,444.6530339,78610,445.0322102,118111,464.6484519
74,444.6530339,78611,445.0322102,118112,464.6484519
75,444.6530339,78612,445.0322102,118113,464.6484519
76,444.6530339,78613,445.0322102,118114,464.6484519
77,444.6530339,78614,445.0322102,118115,464.6484519
78,444.6530339,78615,445.0322102,118116,464.6484519
79,444.6530339,78616,445.0322102,118117,464.6484519
80,444.6530339,78617,445.0322102,118118,464.6484519
81,444.6530339,78618,445.0322102,118119,464.6484519
82,444.6530339,78619,445.0322102,118120,464.6484519
83,444.6530339,78620,445.0322102,118121,464.6484519
84,444.6530339,78621,445.0322102,118122,464.6484519
85,444.6530339,78622,445.0322102,118123,464.6484519
86,444.6530339,78623,445.0322102,118124,464.6484519
87,444.6530339,78624,445.0322102,118125,464.6484519
88,444.6530339,78625,445.0322102,118126,464.6484519
89,444.6530339,78626,445.0322102,118127,464.6484519
90,444.6530339,78627,445.0322102,118128,464.6484519
91,444.6530339,78628,445.0322102,118129,464.6484519
92,444.6530339,78629,445.0322102,118130,464.6484519
93,444.6530339,78630,445.0322102,118131,464.6484519
94,444.6530339,78631,445.0322102,118132,464.6484519
95,444.6530339,78632,445.0322102,118133,464.6484519
96,444.6530339,78633,445.0322102,118134,464.6484519
97,444.6530339,78634,445.0322102,118135,464.6484519
98,444.6530339,78635,445.0322102,118136,464.6484519
99,444.6530339,78636,445.0322102,118137,464.6484519
100,444.6530339,78637,445.0322102,118138,464.6484519
101,444.6530339,78638,445.0322102,118139,464.6484519
102,444.6530339,78639,445.0322102,118140,464.6484519
103,444.6530339,78640,445.0322102,118141,464.6484519
104,444.6530339,78641,445.0322102,118142,464.6484519
105,444.6530339,78642,445.0322102,118143,464.6484519
106,444.6530339,78643,445.0322102,118144,464.6484519
107,444.6530339,78644,445.0322102,118145,464.6484519
108,444.6530339,78645,445.0322102,118146,464.6484519
109,444.6530339,78646,445.0322102,118147,464.6484519
110,444.6530339,78647,445.0322102,118148,464.6484519
111,444.6530339,78648,445.0322102,118149,464.6484519
112,444.6530339,78649,445.0322102,118150,464.6484519
113,444.6530339,78650,445.0322102,118151,464.6484519
114,444.6530339,78651,445.0322102,118152,464.6484519
115,444.6530339,78652,445.0322102,118153,464.6484519
116,444.6530339,78653,445.0322102,118154,464.6484519
117,444.6530339,78654,445.0322102,118155,464.6484519
118,444.6530339,78655,445.0322102,118156,464.6484519
119,444.6530339,78656,445.0322102,118157,464.6484519
120,444.6530339,78657,445.0322102,118158,464.6484519
121,444.6530339,78658,445.0322102,118159,464.6484519
122,444.6530339,78659,445.0322102,118160,464.6484519
123,444.6530339,78660,445.0322102,118161,464.6484519
124,444.6530339,78661,445.0322102,118162,464.6484519
125,444.6530339,78662,445.0322102,118163,464.6484519
126,444.6530339,78663,445.0322102,118164,464.6484519
127,444.6530339,78664,445.0322102,118165,464.6484519
128,444.6530339,78665,445.0322102,118166,464.6484519
129,444.6530339,78666,445.0322102,118167,464.6484519
130,444.6530339,78667,445.0322102,118168,464.6484519
131,444.6530339,78668,445.0322102,118169,464.6484519
132,444.6530339,78669,445.0322102,118170,464.6484519
133,444.6530339,78670,445.0322102,118171,464.6484519
134,444.6530339,78671,445.0322102,118172,464.6484519
135,444.6530339,78672,445.0322102,118173,464.6484519
136,444.6530339,78673,445.0322102,118174,464.6484519
137,444.6530339,78674,445.0322102,118175,464.6484519
138,444.6530339,78675,445.0322102,118176,464.6484519
139,444.6530339,78676,445.0322102,118177,464.6484519
140,444.6530339,78677,445.0322102,118178,464.6484519
141,444.6530339,78678,445.0322102,118179,464.6484519
142,444.6530339,78679,445.0322102,118180,464.6484519
143,444.6530339,78680,445.0322102,118181,464.6484519
144,444.6530339,78681,445.0322102,118182,464.6484519
145,444.6530339,78682,445.0322102,118183,464.6484519
146,444.6530339,78683,445.0322102,118184,464.6484519
147,444.6530339,78684,445.0322102,118185,464.6484519
148,444.6530339,78685,445.0322102,118186,464.6484519
149,444.6530339,78686,445.0322102,118187,464.6484519
150,444.6530339,78687,445.0322102,118188,464.6484519
151,444.6530339,78688,445.0322102,118189,464.6484519
152,444.6530339,78689,445.0322102,118190,464.6484519
153,444.6530339,78690,445.0322102,118191,464.6484519
154,444.6530339,78691,445.0322102,118192,464.6484519
155,444.6530339,78692,445.0322102,118193,464.6484519
156,444.6530339,78693,445.0322102,118194,464.6484519
157,444.6530339,78694,445.0322102,118195,464.6484519
158,444.6530339,78695,445.0322102,118196,464.6484519
159,444.6530339,78696,445.0322102,118197,464.6484519
160,444.6530339,78697,445.0322102,118198,464.6484519
161,444.6530339,78698,445.0322102,118199,464.6484519
